study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA255796	SAMN02929042	SRX658398	SRR1521846	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521846/SRR1521846.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521846	GSM1441293	H3K4me1_GN.ucsc
PRJNA255796	SAMN02929043	SRX658399	SRR1521847	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521847/SRR1521847.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521847	GSM1441294	H3K4me1_Mono.ucsc
PRJNA255796	SAMN02929043	SRX658399	SRR1521848	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521848/SRR1521848.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521848	GSM1441294	H3K4me1_Mono.ucsc
PRJNA255796	SAMN02929043	SRX658399	SRR1521849	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521849/SRR1521849.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521849	GSM1441294	H3K4me1_Mono.ucsc
PRJNA255796	SAMN02929043	SRX658399	SRR1521850	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521850/SRR1521850.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521850	GSM1441294	H3K4me1_Mono.ucsc
PRJNA255796	SAMN02929044	SRX658400	SRR1521851	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521851/SRR1521851.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521851	GSM1441295	H3K4me1_MF.ucsc
PRJNA255796	SAMN02929044	SRX658400	SRR1521852	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521852/SRR1521852.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521852	GSM1441295	H3K4me1_MF.ucsc
PRJNA255796	SAMN02929044	SRX658400	SRR1521853	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521853/SRR1521853.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521853	GSM1441295	H3K4me1_MF.ucsc
PRJNA255796	SAMN02929044	SRX658400	SRR1521854	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521854/SRR1521854.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521854	GSM1441295	H3K4me1_MF.ucsc
PRJNA255796	SAMN02929045	SRX658401	SRR1521855	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521855/SRR1521855.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521855	GSM1441296	H3K4me1_B.ucsc
PRJNA255796	SAMN02929045	SRX658401	SRR1521856	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521856/SRR1521856.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521856	GSM1441296	H3K4me1_B.ucsc
PRJNA255796	SAMN02929045	SRX658401	SRR1521857	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521857/SRR1521857.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521857	GSM1441296	H3K4me1_B.ucsc
PRJNA255796	SAMN02929052	SRX658402	SRR1521858	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521858/SRR1521858.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521858	GSM1441297	H3K4me1_CD4.ucsc
PRJNA255796	SAMN02929052	SRX658402	SRR1521859	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521859/SRR1521859.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521859	GSM1441297	H3K4me1_CD4.ucsc
